,init_value,est_value
buildA4Base,0.7303342264495827,0.008742982060768754
V_A4S,0.3027268733068055,0.13670559155940726
buildCBase,0.918682585024919,0.0
Vmax_C,0.845633727400407,0.32126824215770244
nC,2.0,2.0889982749493865
K_C,0.9472321050929501,0.7812743894095265
buildK1Base,0.43167777865062,234.26656214085577
k_K1_mod,0.47762689144592996,999.9999999998807
k_K1_unmod,0.1802113557005543,0.0
buildN2Base,0.5898085905049778,0.08287713658556366
Vmax_degN2,0.010210849079084141,0.06580592317419433
K_N2,0.4565887412749331,0.0
buildS1Base,0.731815202866899,515.0094189969649
Vmax_S1,0.04870307195759162,999.999133097903
nS1,2.0,6.83700039372683
K_S1,0.4699600114945063,0.8672421449296351
degradA4,2.378720811876015,0.028476158767625517
degradC,2.6367288263405477,0.10550461268240251
degradK1,0.43167777865062,234.26656214085577
degradN2,1.0471482043990623,0.030599612445309843
degradS1,1.6279977174797373,1202.7593107053433
