,init_value,est_value
buildA4Base,0.12150373590558995,0.008742982061027922
V_A4S,0.6659739114017185,0.13670559154898687
Vmax_C,0.6683623491920201,0.3212682380275497
nC,2.0,2.088998286696267
K_C,0.7773012457829023,0.7812743841549803
k_K1_mod,0.9668944757708599,999.9999999965456
k_K1_unmod,0.05149859552712848,66.7984913143069
buildN2Base,0.002004222346961053,0.060800936102325086
V_degN2,0.7646599170968046,0.08901140105758193
buildS1Base,0.23216990047705208,544.6099057145573
Vmax_S1,0.5682083771781543,999.9985042509653
nS1,2.0,7.564602262320662
K_S1,0.25495495236669025,0.8800400134620012
degradA4,0.3957413672427223,0.028476158768469633
degradC,0.23806197877931368,0.10550461161042556
degradN2,-0.7610674116554285,0.019972362205791183
degradS1,1.5036089023084198,1232.1575331586487
