"","StateVar","replID","treatment","timeID","timeAfterExposure","dose_uM","data4modelReal"
"80","Compound",6,"Nitrofurantoin",5,48,7.5,5.28606305858571
"81","Compound",6,"Nitrofurantoin",1,0,30,13.0201484583291
"82","Compound",6,"Nitrofurantoin",2,3,30,26.4927917854421
"83","Compound",6,"Nitrofurantoin",3,6,30,35.4982277354087
"84","Compound",6,"Nitrofurantoin",4,24,30,28.6964427943821
"85","Compound",6,"Nitrofurantoin",5,48,30,41.5355540686858
"86","Compound",6,"Nitrofurantoin",1,0,120,51.059674884585
"87","Compound",6,"Nitrofurantoin",2,3,120,83.781392471449
"88","Compound",6,"Nitrofurantoin",3,6,120,54.1413738760071
"89","Compound",6,"Nitrofurantoin",4,24,120,47.0005089574935
"90","Compound",6,"Nitrofurantoin",5,48,120,24.2599654662653
