Molecule,Replicate,Ext_Reference,Area,Ratio_To_Standard,Amount ng/ml,Amount nmol/mL,Amount nmol/well,Amount nmol/1e6 cells seeded,Cells,Incubation_Time,Dose_Level,Dose_uM,Dose_IC,Dose_nmol/well
Diclofenac,14703127,DICLO_OZ_3h_P26_B5_D1,100641,0.0122,22.9257,0.072070732,0.02162122,0.216212197,no cells,3,1,50,IC01,25
Diclofenac,14703128,DICLO_OZ_3h_P26_C5_D2,657165,0.0814,149.0378,0.468524992,0.140557498,1.405574976,no cells,3,2,320,IC50,160
Diclofenac,14703129,DICLO_OZ_3h_P26_D5_D3,1832358,0.2205,403.6844,1.269048727,0.380714618,3.80714618,no cells,3,3,1000,IC85,500
Diclofenac,14703130,DICLO_OZ_0h_P34_A5_VC,6831,0.0008,2.2811,0.007171015,0.002151305,0.021513046,no cells,0,C,0,Control,0
Diclofenac,14703131,DICLO_OZ_0h_P34_B5_D1,266114,0.0325,59.9987,0.188615844,0.056584753,0.565847532,no cells,0,1,50,IC01,25
Diclofenac,14703132,DICLO_OZ_0h_P34_C5_D2,907388,0.1092,199.9205,0.628483181,0.188544954,1.885449544,no cells,0,2,320,IC50,160
Diclofenac,14703133,DICLO_OZ_0h_P34_D5_D3,1640518,0.2001,366.2425,1.151343917,0.345403175,3.454031751,no cells,0,3,1000,IC85,500
Diclofenac,14703138,DICLO_OZ_3h_P26_A4_VC,6046,0.0007,2.1062,0.006621188,0.001986356,0.019863565,no cells,3,C,0,Control,0
Diclofenac,14703139,DICLO_OZ_3h_P26_B4_D1,125710,0.0151,28.1804,0.088589752,0.026576925,0.265769255,no cells,3,1,50,IC01,25
Diclofenac,14703140,DICLO_OZ_3h_P26_C4_D2,664205,0.0804,147.3129,0.463102483,0.138930745,1.38930745,no cells,3,2,320,IC50,160
Diclofenac,14703141,DICLO_OZ_3h_P26_D4_D3,1112708,0.1357,248.2716,0.780482867,0.23414486,2.341448601,no cells,3,3,1000,IC85,500
Diclofenac,14703142,DICLO_OZ_0h_P34_A4_VC,8977,0.0011,2.7584,0.008671487,0.002601446,0.026014461,no cells,0,C,0,Control,0
Diclofenac,14703143,DICLO_OZ_0h_P34_B4_D1,258793,0.031,57.1466,0.179649796,0.053894939,0.538949387,no cells,0,1,50,IC01,25
Diclofenac,14703144,DICLO_OZ_0h_P34_C4_D2,1103963,0.1339,245.0568,0.770376611,0.231112983,2.311129833,no cells,0,2,320,IC50,160
Diclofenac,14703145,DICLO_OZ_0h_P34_D4_D3,1888846,0.227,415.4965,1.306182018,0.391854605,3.918546055,no cells,0,3,1000,IC85,500
Diclofenac,14703150,DICLO_MZ_3h_P26_A3_VC,5181,0.0006,1.919,0.006032694,0.001809808,0.018098082,cells,3,C,0,Control,0
Diclofenac,14703151,DICLO_MZ_3h_P26_B3_D1,485215,0.0594,108.9991,0.342656712,0.102797014,1.027970135,cells,3,1,50,IC01,25
Diclofenac,14703152,DICLO_MZ_3h_P26_C3_D2,3974102,0.483,887.6885,2.790595725,0.837178717,8.371787174,cells,3,2,320,IC50,160
Diclofenac,14703153,DICLO_MZ_3h_P26_D3_D3,10778429,1.3344,2492.028,7.834102483,2.350230745,23.50230745,cells,3,3,1000,IC85,500
Diclofenac,14703154,DICLO_MZ_0h_P34_A3_VC,7207,0.0009,2.3842,0.007495127,0.002248538,0.022485382,cells,0,C,0,Control,0
Diclofenac,14703155,DICLO_MZ_0h_P34_B3_D1,667306,0.081,148.4642,0.466721786,0.140016536,1.400165357,cells,0,1,50,IC01,25
Diclofenac,14703156,DICLO_MZ_0h_P34_C3_D2,4453506,0.5504,1012.6926,3.183566803,0.955070041,9.550700409,cells,0,2,320,IC50,160
Diclofenac,14703157,DICLO_MZ_0h_P34_D3_D3,7265381,0.9254,1714.5394,5.389938384,1.616981515,16.16981515,cells,0,3,1000,IC85,500
Diclofenac,14703162,DICLO_MZ_3h_P26_A2_VC,52053,0.0062,12.0468,0.03787111,0.011361333,0.113613329,cells,3,C,0,Control,0
Diclofenac,14703163,DICLO_MZ_3h_P26_B2_D1,539771,0.066,120.9715,0.380293933,0.11408818,1.140881798,cells,3,1,50,IC01,25
Diclofenac,14703164,DICLO_MZ_3h_P26_C2_D2,5016110,0.62,1142.2184,3.590752594,1.077225778,10.77225778,cells,3,2,320,IC50,160
Diclofenac,14703165,DICLO_MZ_3h_P26_D2_D3,8525341,1.0659,1980.1542,6.224942471,1.867482741,18.67482741,cells,3,3,1000,IC85,500
Diclofenac,14703166,DICLO_MZ_0h_P34_A2_VC,6118,0.0007,2.1383,0.0067221,0.00201663,0.0201663,cells,0,C,0,Control,0
Diclofenac,14703167,DICLO_MZ_0h_P34_B2_D1,725676,0.0878,160.8218,0.505569947,0.151670984,1.51670984,cells,0,1,50,IC01,25
Diclofenac,14703168,DICLO_MZ_0h_P34_C2_D2,4465084,0.5455,1003.5902,3.154951902,0.946485571,9.464855706,cells,0,2,320,IC50,160
Diclofenac,14703169,DICLO_MZ_0h_P34_D2_D3,7598691,0.9831,1823.3827,5.732105313,1.719631594,17.19631594,cells,0,3,1000,IC85,500
Diclofenac,14703174,DICLO_MZ_3h_P26_A1_VC,4066,0.0005,1.664,0.005231059,0.001569318,0.015693178,cells,3,C,0,Control,0
Diclofenac,14703175,DICLO_MZ_3h_P26_B1_D1,571002,0.0685,125.6531,0.395011317,0.118503395,1.185033952,cells,3,1,50,IC01,25
Diclofenac,14703176,DICLO_MZ_3h_P26_C1_D2,5806609,0.7029,1296.7846,4.076657026,1.222997108,12.22997108,cells,3,2,320,IC50,160
Diclofenac,14703177,DICLO_MZ_3h_P26_D1_D3,8585952,1.061,1970.8139,6.195579692,1.858673908,18.58673908,cells,3,3,1000,IC85,500
Diclofenac,14703178,DICLO_MZ_0h_P34_A1_VC,8785,0.0011,2.7172,0.008541968,0.00256259,0.025625904,cells,0,C,0,Control,0
