"","StateVar","replID","treatment","timeID","timeAfterExposure","dose_uM","dose_uMadj","data4modelReal"
"92","GSH",2,"DIC",4,12,16,16,1.09099941279922
"93","GSH",2,"DIC",5,24,16,16,1.03381170267942
"94","GSH",2,"DIC",6,36,16,16,1.05603154166475
"95","GSH",2,"DIC",7,48,16,16,1.04451643209914
"96","GSH",2,"DIC",8,60,16,16,1.0047663599009
"97","GSH",2,"DIC",1,0,32,32,1.02920212925194
"98","GSH",2,"DIC",2,3,32,32,1.00167540155059
"99","GSH",2,"DIC",3,6,32,32,1.03887469117282
"100","GSH",2,"DIC",4,12,32,32,1.07797911184223
"101","GSH",2,"DIC",5,24,32,32,1.02318928745641
"102","GSH",2,"DIC",6,36,32,32,1.02119465394357
"103","GSH",2,"DIC",7,48,32,32,0.981705131173134
"104","GSH",2,"DIC",8,60,32,32,1.08061829914174
"105","GSH",2,"DIC",1,0,64,64,1.0349372090538
"106","GSH",2,"DIC",2,3,64,64,1.00491928399198
"107","GSH",2,"DIC",3,6,64,64,1.01391952396301
"108","GSH",2,"DIC",4,12,64,64,1.09890863488204
"109","GSH",2,"DIC",5,24,64,64,0.992039977748315
"110","GSH",2,"DIC",6,36,64,64,0.990503613270192
"111","GSH",2,"DIC",7,48,64,64,0.959082888346308
"112","GSH",2,"DIC",8,60,64,64,1.04966325856895
"113","GSH",2,"DIC",1,0,125,125,1.02789322844521
"114","GSH",2,"DIC",2,3,125,125,1.03206643654924
"115","GSH",2,"DIC",3,6,125,125,0.983910658535808
"116","GSH",2,"DIC",4,12,125,125,1.02428601775588
"117","GSH",2,"DIC",5,24,125,125,1.21706782736047
"118","GSH",2,"DIC",6,36,125,125,1.04875174645582
"119","GSH",2,"DIC",7,48,125,125,0.891303469733801
"120","GSH",2,"DIC",8,60,125,125,1.05413263223973
"121","GSH",2,"DIC",1,0,250,250,1.0254696390328
"122","GSH",2,"DIC",2,3,250,250,1.02558781073763
"123","GSH",2,"DIC",3,6,250,250,0.987762234986821
"124","GSH",2,"DIC",4,12,250,250,1.07986150500023
"125","GSH",2,"DIC",5,24,250,250,1.42971043250227
"126","GSH",2,"DIC",6,36,250,250,1.15954470663674
"127","GSH",2,"DIC",7,48,250,250,1.04703667926987
"128","GSH",2,"DIC",8,60,250,250,1.17493759797035
"129","GSH",2,"DIC",1,0,500,500,0.991658596151001
"130","GSH",2,"DIC",2,3,500,500,0.986394147597363
"131","GSH",2,"DIC",3,6,500,500,1.05696266522718
"132","GSH",2,"DIC",4,12,500,500,1.25369016785285
"133","GSH",2,"DIC",5,24,500,500,1.04467611042038
"134","GSH",2,"DIC",6,36,500,500,1.32279308078266
"135","GSH",2,"DIC",7,48,500,500,1.26006315603524
"136","GSH",2,"DIC",8,60,500,500,1.38507605363904
"137","GSH",2,"DIC",1,0,1000,1000,1.01317272476559
"138","GSH",2,"DIC",2,3,1000,1000,1.00535367703643
"139","GSH",2,"DIC",3,6,1000,1000,1.03375490169468
"140","GSH",2,"DIC",4,12,1000,1000,0.868439961518335
"141","GSH",2,"DIC",5,24,1000,1000,0.730433430694837
"142","GSH",2,"DIC",6,36,1000,1000,0.769673716934355
"143","GSH",2,"DIC",7,48,1000,1000,0.536421785903824
"144","GSH",2,"DIC",8,60,1000,1000,0.572311072803728
"145","GSH",3,"DIC",1,0,4,4,0.978787232370632
"146","GSH",3,"DIC",2,3,4,4,1.06989300397674
"147","GSH",3,"DIC",3,6,4,4,0.951816598677556
"148","GSH",3,"DIC",4,12,4,4,1.02144184414984
"149","GSH",3,"DIC",5,24,4,4,1.05257466242473
"150","GSH",3,"DIC",6,36,4,4,1.15982127861971
"151","GSH",3,"DIC",7,48,4,4,0.99948641893525
"152","GSH",3,"DIC",8,60,4,4,0.972885472898583
"153","GSH",3,"DIC",1,0,8,8,0.947417373066125
"154","GSH",3,"DIC",2,3,8,8,1.02212215335522
"155","GSH",3,"DIC",3,6,8,8,1.00225479427598
"156","GSH",3,"DIC",4,12,8,8,1.10727793181881
"157","GSH",3,"DIC",5,24,8,8,1.13048133321022
"158","GSH",3,"DIC",6,36,8,8,1.13780364364785
"159","GSH",3,"DIC",7,48,8,8,1.13745431111391
"160","GSH",3,"DIC",8,60,8,8,0.964403571984303
"161","GSH",3,"DIC",1,0,16,16,1.04775036999283
"162","GSH",3,"DIC",2,3,16,16,1.00860842170044
"163","GSH",3,"DIC",3,6,16,16,0.965979280340976
"164","GSH",3,"DIC",4,12,16,16,1.09472654805622
"165","GSH",3,"DIC",5,24,16,16,0.976940267572209
"166","GSH",3,"DIC",6,36,16,16,0.99618277403626
"167","GSH",3,"DIC",7,48,16,16,1.00253778408418
"168","GSH",3,"DIC",8,60,16,16,1.18842470097666
"169","GSH",3,"DIC",1,0,32,32,1.01254145057317
"170","GSH",3,"DIC",2,3,32,32,0.887169452954444
"171","GSH",3,"DIC",3,6,32,32,0.982438461178357
"172","GSH",3,"DIC",4,12,32,32,1.05173615313281
"173","GSH",3,"DIC",5,24,32,32,1.14332192667741
"174","GSH",3,"DIC",6,36,32,32,1.06193084280582
"175","GSH",3,"DIC",7,48,32,32,1.08627167294742
"176","GSH",3,"DIC",8,60,32,32,1.12791300983542
"177","GSH",3,"DIC",1,0,64,64,0.953711007531058
"178","GSH",3,"DIC",2,3,64,64,0.932697690281721
"179","GSH",3,"DIC",3,6,64,64,1.02842255229807
"180","GSH",3,"DIC",4,12,64,64,1.05644483773978
"181","GSH",3,"DIC",5,24,64,64,1.11216648401336
"182","GSH",3,"DIC",6,36,64,64,1.0296155685212
"183","GSH",3,"DIC",7,48,64,64,1.22804940402508
"184","GSH",3,"DIC",8,60,64,64,0.990224579206359
"185","GSH",3,"DIC",1,0,125,125,1.01216179548196
"186","GSH",3,"DIC",2,3,125,125,0.938464204773422
"187","GSH",3,"DIC",3,6,125,125,1.07685512146603
"188","GSH",3,"DIC",4,12,125,125,1.15446074523279
"189","GSH",3,"DIC",5,24,125,125,1.20189204198026
"190","GSH",3,"DIC",6,36,125,125,1.16447721529596
"191","GSH",3,"DIC",7,48,125,125,1.25856319760543
"192","GSH",3,"DIC",8,60,125,125,1.28559392053837
"193","GSH",3,"DIC",1,0,250,250,0.97835061471038
"194","GSH",3,"DIC",2,3,250,250,0.916417059320596
"195","GSH",3,"DIC",3,6,250,250,1.16614099629724
"196","GSH",3,"DIC",4,12,250,250,1.3331522724782
"197","GSH",3,"DIC",5,24,250,250,1.56795383007028
"198","GSH",3,"DIC",6,36,250,250,1.24250358521547
"199","GSH",3,"DIC",7,48,250,250,1.61909212262649
"200","GSH",3,"DIC",8,60,250,250,1.50713017637165
"201","GSH",3,"DIC",1,0,500,500,0.961249621843568
"202","GSH",3,"DIC",2,3,500,500,1.03674725034498
"203","GSH",3,"DIC",3,6,500,500,1.10806827451438
"204","GSH",3,"DIC",4,12,500,500,1.10656433237623
"205","GSH",3,"DIC",5,24,500,500,0.904275085920454
"206","GSH",3,"DIC",6,36,500,500,1.04442023659152
"207","GSH",3,"DIC",7,48,500,500,1.38780513863048
"208","GSH",3,"DIC",8,60,500,500,1.94730093288146
"209","GSH",3,"DIC",1,0,1000,1000,1.09830076599765
"210","GSH",3,"DIC",2,3,1000,1000,1.05419819202928
"211","GSH",3,"DIC",3,6,1000,1000,1.05597172398391
"212","GSH",3,"DIC",4,12,1000,1000,0.806121798111315
"213","GSH",3,"DIC",5,24,1000,1000,0.469448195625128
"214","GSH",3,"DIC",6,36,1000,1000,0.876297661572059
"215","GSH",3,"DIC",7,48,1000,1000,0.176757640988698
"216","GSH",3,"DIC",8,60,1000,1000,0.363942707857652
"217","GSH",4,"DIC",1,0,4,4,1.03443539218114
"218","GSH",4,"DIC",2,3,4,4,1.05490839996873
"219","GSH",4,"DIC",3,6,4,4,0.973443878634012
