treatment,variable,dose_uM,dose_level,time,Mean,SD
NIT,Resazurin,2,3,6,95.98162685,0.511384969
NIT,Resazurin,4,4,6,98.81331707,3.919827784
NIT,Resazurin,8,5,6,101.7135116,1.718407546
NIT,Resazurin,16,6,6,97.39157436,3.960209568
NIT,Resazurin,31,7,6,100.6425004,2.489841112
NIT,Resazurin,62,8,6,99.67822191,2.095668249
NIT,Resazurin,125,9,6,99.35250952,3.054253564
NIT,Resazurin,0,0,12,99.99922779,0.000774193
NIT,Resazurin,0.5,1,12,99.61686106,3.171140629
NIT,Resazurin,1,2,12,98.83964911,3.409019248
NIT,Resazurin,2,3,12,99.63729402,3.225766009
NIT,Resazurin,4,4,12,96.72375658,2.627337697
NIT,Resazurin,8,5,12,101.2394035,7.162721017
NIT,Resazurin,16,6,12,101.163462,3.457914459
NIT,Resazurin,31,7,12,96.71045503,0.925750211
NIT,Resazurin,62,8,12,96.66381286,3.741998133
NIT,Resazurin,125,9,12,93.21742839,9.813771858
NIT,Resazurin,0,0,24,100.000337,0.000300018
NIT,Resazurin,0.5,1,24,99.42361737,1.682787343
NIT,Resazurin,1,2,24,99.5049661,0.715978669
NIT,Resazurin,2,3,24,99.04965208,0.871197588
NIT,Resazurin,4,4,24,101.8830331,2.346501571
NIT,Resazurin,8,5,24,98.98103572,4.226542539
NIT,Resazurin,16,6,24,97.89811171,4.22593421
NIT,Resazurin,31,7,24,96.97918934,5.22314292
NIT,Resazurin,62,8,24,94.09772657,3.93669561
NIT,Resazurin,125,9,24,91.9808485,12.45813691
NIT,Resazurin,0,0,36,100.0007061,0.001577458
NIT,Resazurin,0.5,1,36,99.22123346,2.043987968
NIT,Resazurin,1,2,36,95.64731357,2.519871751
NIT,Resazurin,2,3,36,101.9679339,1.413925398
NIT,Resazurin,4,4,36,95.86397793,2.296335547
NIT,Resazurin,8,5,36,94.75538265,3.543405915
NIT,Resazurin,16,6,36,92.92253922,6.91144967
NIT,Resazurin,31,7,36,87.83378274,12.14981309
NIT,Resazurin,62,8,36,84.39525423,13.26577162
NIT,Resazurin,125,9,36,77.81688145,13.37083615
NIT,Resazurin,0,0,48,99.99987767,0.000771905
NIT,Resazurin,0.5,1,48,99.43000409,0.727119747
NIT,Resazurin,1,2,48,98.55849739,6.353319281
NIT,Resazurin,2,3,48,98.61617253,5.285986907
NIT,Resazurin,4,4,48,97.2860412,6.70541097
NIT,Resazurin,8,5,48,95.87654322,6.550587997
NIT,Resazurin,16,6,48,92.30412423,11.19337682
NIT,Resazurin,31,7,48,87.63899642,12.22468671
NIT,Resazurin,62,8,48,81.89569998,9.892531935
NIT,Resazurin,125,9,48,74.50814816,5.240859984
NIT,Resazurin,0,0,60,99.99959813,0.000696053
NIT,Resazurin,0.5,1,60,96.69148818,5.990684404
NIT,Resazurin,1,2,60,100.2384735,4.435155754
NIT,Resazurin,2,3,60,97.59690497,6.42556753
NIT,Resazurin,4,4,60,99.16630447,6.268036085
NIT,Resazurin,8,5,60,95.85570742,5.257583714
NIT,Resazurin,16,6,60,91.90931215,8.112403956
NIT,Resazurin,31,7,60,85.98251617,11.95826977
NIT,Resazurin,62,8,60,78.74522766,14.61656761
NIT,Resazurin,125,9,60,71.73906788,16.32903793
