treatment,variable,dose_uM,dose_level,time,Mean,SD
KET,Resazurin,50,8,6,97.07333333,2.65151529
KET,Resazurin,100,9,6,97.29666667,4.861299552
KET,Resazurin,0,0,12,100,0
KET,Resazurin,0.375,1,12,99.28333333,2.864303289
KET,Resazurin,0.75,2,12,100.91,0.342198773
KET,Resazurin,1.5,3,12,99.85666667,2.571426323
KET,Resazurin,3,4,12,99.52333333,3.687198575
KET,Resazurin,6,5,12,99.21666667,4.528425039
KET,Resazurin,12.5,6,12,102.03,3.904625462
KET,Resazurin,25,7,12,99.71666667,5.635967826
KET,Resazurin,50,8,12,101.9666667,2.276166368
KET,Resazurin,100,9,12,102.2066667,5.921269571
KET,Resazurin,0,0,24,100,0
KET,Resazurin,0.375,1,24,99.54,4.549032864
KET,Resazurin,0.75,2,24,98.48333333,5.302464836
KET,Resazurin,1.5,3,24,95.43,6.065649182
KET,Resazurin,3,4,24,94.96666667,2.810557477
KET,Resazurin,6,5,24,98.15666667,2.1627837
KET,Resazurin,12.5,6,24,95.98333333,3.866811779
KET,Resazurin,25,7,24,100.57,2.485719212
KET,Resazurin,50,8,24,96.66666667,2.528444845
KET,Resazurin,100,9,24,99.68,2.396267932
KET,Resazurin,0,0,36,100,0
KET,Resazurin,0.375,1,36,98.04233205,6.379287677
KET,Resazurin,0.75,2,36,97.70566003,3.737475259
KET,Resazurin,1.5,3,36,98.35327061,3.063508923
KET,Resazurin,3,4,36,97.05879525,0.83168922
KET,Resazurin,6,5,36,101.4669304,1.401571273
KET,Resazurin,12.5,6,36,98.69395636,3.384729666
KET,Resazurin,25,7,36,98.8800698,2.663093228
KET,Resazurin,50,8,36,101.6198057,2.819828812
KET,Resazurin,100,9,36,103.0989649,1.844366759
KET,Resazurin,0,0,48,100,0
KET,Resazurin,0.375,1,48,99.95333333,1.938487383
KET,Resazurin,0.75,2,48,101.79,0.700856619
KET,Resazurin,1.5,3,48,101.4533333,1.080015432
KET,Resazurin,3,4,48,97.33666667,4.539629207
KET,Resazurin,6,5,48,99.78333333,1.971657509
KET,Resazurin,12.5,6,48,95.73333333,3.584931427
KET,Resazurin,25,7,48,96.75,6.567061748
KET,Resazurin,50,8,48,100.1866667,4.854836077
KET,Resazurin,100,9,48,101.8433333,2.302657885
KET,Resazurin,0,0,60,100,0
KET,Resazurin,0.375,1,60,95.97666667,2.88361463
KET,Resazurin,0.75,2,60,97.43333333,9.225434046
KET,Resazurin,1.5,3,60,99.21333333,6.486079967
KET,Resazurin,3,4,60,98.58666667,3.570102706
KET,Resazurin,6,5,60,97.08,8.024842678
KET,Resazurin,12.5,6,60,99.83,5.500436346
KET,Resazurin,25,7,60,100.2666667,4.892773583
KET,Resazurin,50,8,60,98.98333333,4.755726373
KET,Resazurin,100,9,60,102.7066667,2.71148176
