,StateVar,replID,treatment,timeID,timeAfterExposure,dose_uM,dose_uMadj,data4modelReal
96,GSH,3,NFT,8,60,125,125,0.972749727
97,GSH,4,NFT,1,0,8,8,0.906033295
98,GSH,4,NFT,2,3,8,8,0.969231573
99,GSH,4,NFT,3,6,8,8,1.152384573
100,GSH,4,NFT,4,12,8,8,1.223463798
101,GSH,4,NFT,5,24,8,8,1.502583499
102,GSH,4,NFT,6,36,8,8,1.304894395
103,GSH,4,NFT,7,48,8,8,1.48485898
104,GSH,4,NFT,8,60,8,8,1.421808929
105,GSH,4,NFT,1,0,31,31,0.995894478
106,GSH,4,NFT,2,3,31,31,0.999753724
107,GSH,4,NFT,3,6,31,31,0.991822198
108,GSH,4,NFT,4,12,31,31,1.3518609
109,GSH,4,NFT,5,24,31,31,1.760567861
110,GSH,4,NFT,6,36,31,31,1.633559917
111,GSH,4,NFT,7,48,31,31,2.208624212
112,GSH,4,NFT,8,60,31,31,1.749230404
113,GSH,4,NFT,1,0,62,62,0.990853706
114,GSH,4,NFT,2,3,62,62,1.046583472
115,GSH,4,NFT,3,6,62,62,1.144251651
116,GSH,4,NFT,4,12,62,62,1.669226448
117,GSH,4,NFT,5,24,62,62,1.962392851
118,GSH,4,NFT,6,36,62,62,1.420313219
119,GSH,4,NFT,7,48,62,62,1.9084493
120,GSH,4,NFT,8,60,62,62,1.471568233
121,GSH,4,NFT,1,0,125,125,0.88649317
122,GSH,4,NFT,2,3,125,125,1.060291882
123,GSH,4,NFT,3,6,125,125,1.009786822
124,GSH,4,NFT,4,12,125,125,1.477698851
125,GSH,4,NFT,5,24,125,125,1.766765841
126,GSH,4,NFT,6,36,125,125,1.542380429
127,GSH,4,NFT,7,48,125,125,1.962832781
128,GSH,4,NFT,8,60,125,125,1.703842227
