treatment,dose_uM,measurement,replicate,mean,sd
KET,0.78125,supernatant,V10,1.67793331,0.151994375
KET,1.5625,supernatant,V10,1.830453122,0.133953364
KET,3.125,supernatant,V10,1.75993315,0.297735916
KET,6.25,supernatant,V10,1.814600172,0.104049035
KET,12.5,supernatant,V10,1.948533247,0.15937771
KET,25,supernatant,V10,2.480440039,0.223711808
KET,50,supernatant,V10,2.891533244,0.201386952
KET,100,supernatant,V10,2.839600172,0.181393038
KET,0,supernatant,V11,1.732070366,0.203193077
KET,0.390625,supernatant,V11,1.881853471,0.234752251
KET,0.78125,supernatant,V11,1.884819631,0.241223
KET,1.5625,supernatant,V11,1.95600351,0.244629051
KET,3.125,supernatant,V11,1.922636219,0.234368266
KET,6.25,supernatant,V11,2.193283549,0.488526841
KET,12.5,supernatant,V11,2.573672969,0.758664175
KET,25,supernatant,V11,2.518060633,0.285782763
KET,50,supernatant,V11,2.558842939,0.287952445
KET,100,supernatant,V11,2.893259355,0.74607878
KET,0,cells,V8,9.683633226,0.811988452
KET,0.390625,cells,V8,10.4954732,0.813419407
KET,0.78125,cells,V8,10.43022914,0.681306501
KET,1.5625,cells,V8,10.56501478,0.877913145
KET,3.125,cells,V8,11.22839502,0.766311438
KET,6.25,cells,V8,10.92092733,0.490195778
KET,12.5,cells,V8,11.67729008,0.563319353
KET,25,cells,V8,12.40513282,0.874094033
KET,50,cells,V8,NA,NA
KET,100,cells,V8,13.01967798,0.521396014
KET,0,cells,V9,10.0787295,1.299327852
KET,0.390625,cells,V9,11.10215301,1.469216821
KET,0.78125,cells,V9,12.36712949,1.456320791
KET,1.5625,cells,V9,13.47382514,1.58128207
KET,3.125,cells,V9,14.41588298,0.759025751
KET,6.25,cells,V9,13.58697345,0.908806173
KET,12.5,cells,V9,12.25398085,1.51461926
KET,25,cells,V9,17.54018459,0.807472618
KET,50,cells,V9,17.41114434,1.01484082
KET,100,cells,V9,18.03282616,1.392164591
KET,0,cells,V10,9.545360138,0.978705682
KET,0.390625,cells,V10,9.358920147,0.523768957
KET,0.78125,cells,V10,8.525053198,0.662371785
KET,1.5625,cells,V10,8.867253364,1.434503069
KET,3.125,cells,V10,7.802893223,0.451745159
KET,6.25,cells,V10,8.917599886,0.637294443
KET,12.5,cells,V10,10.29820022,0.474003848
KET,25,cells,V10,11.67250671,0.219582068
KET,50,cells,V10,12.24284008,0.555740412
KET,100,cells,V10,13.07828028,0.784757624
KET,0,cells,V11,10.84726004,1.376831898
KET,0.390625,cells,V11,9.22112431,2.026334236
KET,0.78125,cells,V11,11.17316951,1.353534136
KET,1.5625,cells,V11,10.17752431,1.352710442
KET,3.125,cells,V11,10.4599223,0.883548564
KET,6.25,cells,V11,10.98717946,0.835131065
KET,12.5,cells,V11,13.44771182,2.063873774
KET,25,cells,V11,15.16513628,1.445323156
KET,50,cells,V11,17.08561403,1.750281084
KET,100,cells,V11,15.52943851,1.783713245
DIC,0,supernatant,V8,1.360422413,0.186378085
DIC,3.90625,supernatant,V8,1.517011909,0.30223753
DIC,7.8125,supernatant,V8,1.674143814,0.183667755
DIC,15.625,supernatant,V8,1.718574253,0.22598925
DIC,31.25,supernatant,V8,1.732661916,0.276884568
DIC,62.5,supernatant,V8,1.922303563,0.15997772
DIC,125,supernatant,V8,1.828024663,0.095841237
DIC,250,supernatant,V8,1.588534393,0.374231971
DIC,500,supernatant,V8,1.947769757,0.193401981
DIC,1000,supernatant,V8,2.448965355,0.283585219
DIC,0,supernatant,V10,1.718049938,0.12089885
DIC,3.90625,supernatant,V10,1.863130127,0.150327616
DIC,7.8125,supernatant,V10,1.766605062,0.115487364
DIC,15.625,supernatant,V10,1.842655042,0.109964599
DIC,31.25,supernatant,V10,1.742619918,0.067186906
DIC,62.5,supernatant,V10,1.841484935,0.138641288
DIC,125,supernatant,V10,1.896474994,0.134179954
DIC,250,supernatant,V10,1.749640124,0.120980434
DIC,500,supernatant,V10,1.687629859,0.070153371
DIC,1000,supernatant,V10,1.481125024,0.050658421
DIC,0,supernatant,V11,1.831997999,0.175232139
DIC,3.90625,supernatant,V11,1.884626337,0.261194132
DIC,7.8125,supernatant,V11,1.870487448,0.230704496
DIC,15.625,supernatant,V11,1.950608634,0.110385541
DIC,31.25,supernatant,V11,1.897980063,0.216859378
DIC,62.5,supernatant,V11,2.046439501,0.238754411
DIC,125,supernatant,V11,2.201968675,0.27189979
DIC,250,supernatant,V11,2.335503478,0.570342397
DIC,500,supernatant,V11,2.319007933,0.501678039
DIC,1000,supernatant,V11,1.997738496,0.165758949
DIC,0,cells,V8,9.081119254,0.829600656
DIC,3.90625,cells,V8,11.19970055,0.580461892
DIC,7.8125,cells,V8,11.22781774,1.056872751
DIC,15.625,cells,V8,11.34965829,0.825444472
DIC,31.25,cells,V8,11.74840991,0.611369443
DIC,62.5,cells,V8,12.71248563,0.397662378
DIC,125,cells,V8,14.85321956,0.289392178
DIC,250,cells,V8,15.24685908,0.304846328
DIC,500,cells,V8,13.08269416,0.356915771
DIC,1000,cells,V8,0.851329667,0.117621296
DIC,0,cells,V10,9.346248715,1.014798139
DIC,3.90625,cells,V10,9.78013691,1.517666752
DIC,7.8125,cells,V10,10.29120717,1.224412025
DIC,15.625,cells,V10,11.02026392,1.020342213
DIC,31.25,cells,V10,8.890458236,1.307455791
DIC,62.5,cells,V10,10.61870881,1.13818192
DIC,125,cells,V10,16.05378196,1.052473469
DIC,250,cells,V10,16.56380873,1.323097822
DIC,500,cells,V10,11.53133371,1.096544957
DIC,1000,cells,V10,0.07502198,0.532628955
DIC,0,cells,V11,10.12458689,0.961410358
DIC,3.90625,cells,V11,8.036310845,1.990288004
DIC,7.8125,cells,V11,7.981174938,1.640269492
DIC,15.625,cells,V11,8.683297513,1.954145607
DIC,31.25,cells,V11,9.073557073,2.524146709
DIC,62.5,cells,V11,11.64599597,2.391032591
DIC,125,cells,V11,14.75170405,1.577164693
DIC,250,cells,V11,16.17834768,1.31542396
DIC,500,cells,V11,10.7569282,3.764447267
DIC,1000,cells,V11,0.183738542,0.255282599
