treatment,variable,dose_uM,dose_level,time,Mean,SD
DIC,Resazurin,500,8,6,99.76666667,7.188187069
DIC,Resazurin,1000,9,6,104.6166667,2.300028985
DIC,Resazurin,0,0,12,100,0
DIC,Resazurin,4,1,12,99.45333333,4.047435402
DIC,Resazurin,8,2,12,96.01333333,0.960277738
DIC,Resazurin,16,3,12,95.11666667,3.028041171
DIC,Resazurin,32,4,12,99.14,2.638692858
DIC,Resazurin,64,5,12,106.9133333,1.510143481
DIC,Resazurin,125,6,12,100.5566667,1.634666123
DIC,Resazurin,250,7,12,91.82666667,5.726441594
DIC,Resazurin,500,8,12,90.94,7.757525379
DIC,Resazurin,1000,9,12,98.03333333,9.24599553
DIC,Resazurin,0,0,24,100,0
DIC,Resazurin,4,1,24,102.0133333,4.709398405
DIC,Resazurin,8,2,24,99.15666667,1.472967526
DIC,Resazurin,16,3,24,101.1633333,1.412279481
DIC,Resazurin,32,4,24,101.0166667,5.002822537
DIC,Resazurin,64,5,24,101.9266667,0.109696551
DIC,Resazurin,125,6,24,105.7666667,4.857266035
DIC,Resazurin,250,7,24,100.07,4.708279941
DIC,Resazurin,500,8,24,88.40333333,6.528448003
DIC,Resazurin,1000,9,24,66.05333333,6.586594973
DIC,Resazurin,0,0,36,100,0
DIC,Resazurin,4,1,36,98.72666667,3.368298284
DIC,Resazurin,8,2,36,98.25666667,2.67657119
DIC,Resazurin,16,3,36,101.9433333,5.093587472
DIC,Resazurin,32,4,36,100.9966667,3.870004307
DIC,Resazurin,64,5,36,102.63,1.853968716
DIC,Resazurin,125,6,36,98.48,1.751199589
DIC,Resazurin,250,7,36,90.70666667,2.290116445
DIC,Resazurin,500,8,36,58.83333333,3.060332226
DIC,Resazurin,1000,9,36,41.30333333,4.199503939
DIC,Resazurin,0,0,48,100,0
DIC,Resazurin,4,1,48,99.82333333,3.354777688
DIC,Resazurin,8,2,48,101.3933333,2.67567437
DIC,Resazurin,16,3,48,100.3633333,2.423929317
